model,probe_split,snapshot_label,snapshot_epoch,direction,alpha,loss,loss_delta,base_loss,grad_norm,direction_l2_norm,delta_norm,weight_norm,relative_perturbation_norm
VGG-A,train_dev,epoch0,0,d_grad,-0.01,3.004580497741699,0.6947593688964844,2.309821128845215,0.48702821135520935,1.0,0.7436421513557434,74.36421203613281,0.010000000416792089
VGG-A,train_dev,epoch0,0,d_grad,-0.005,2.482982635498047,0.17316150665283203,2.309821128845215,0.48702821135520935,1.0,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_grad,-0.002,2.3706576824188232,0.0608365535736084,2.309821128845215,0.48702821135520935,1.0,0.14872844517230988,74.36421203613281,0.0020000002837392296
VGG-A,train_dev,epoch0,0,d_grad,-0.001,2.3430168628692627,0.03319573402404785,2.309821128845215,0.48702821135520935,1.0,0.07436422258615494,74.36421203613281,0.0010000001418696148
VGG-A,train_dev,epoch0,0,d_grad,0.0,2.309821605682373,4.76837158203125e-07,2.309821128845215,0.48702821135520935,1.0,0.0,74.36421203613281,0.0
VGG-A,train_dev,epoch0,0,d_grad,0.001,2.284816265106201,-0.025004863739013672,2.309821128845215,0.48702821135520935,1.0,0.07436422258615494,74.36421203613281,0.0010000001418696148
VGG-A,train_dev,epoch0,0,d_grad,0.002,2.2771687507629395,-0.03265237808227539,2.309821128845215,0.48702821135520935,1.0,0.14872844517230988,74.36421203613281,0.0020000002837392296
VGG-A,train_dev,epoch0,0,d_grad,0.005,2.2806310653686523,-0.0291900634765625,2.309821128845215,0.48702821135520935,1.0,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_grad,0.01,2.340522289276123,0.030701160430908203,2.309821128845215,0.48702821135520935,1.0,0.7436421513557434,74.36421203613281,0.010000000416792089
VGG-A,train_dev,epoch0,0,d_random,-0.01,2.309845209121704,2.4080276489257812e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.7436421513557434,74.36421203613281,0.010000000416792089
VGG-A,train_dev,epoch0,0,d_random,-0.005,2.309840440750122,1.9311904907226562e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_random,-0.002,2.3098301887512207,9.059906005859375e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.1487284153699875,74.36421203613281,0.0019999998829776057
VGG-A,train_dev,epoch0,0,d_random,-0.001,2.3098230361938477,1.9073486328125e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.07436420768499374,74.36421203613281,0.0009999999414888028
VGG-A,train_dev,epoch0,0,d_random,0.0,2.3098208904266357,-2.384185791015625e-07,2.309821128845215,0.48702821135520935,0.9999999403953552,0.0,74.36421203613281,0.0
VGG-A,train_dev,epoch0,0,d_random,0.001,2.309817314147949,-3.814697265625e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.07436420768499374,74.36421203613281,0.0009999999414888028
VGG-A,train_dev,epoch0,0,d_random,0.002,2.309814929962158,-6.198883056640625e-06,2.309821128845215,0.48702821135520935,0.9999999403953552,0.1487284153699875,74.36421203613281,0.0019999998829776057
VGG-A,train_dev,epoch0,0,d_random,0.005,2.309809684753418,-1.1444091796875e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.3718210756778717,74.36421203613281,0.0050000002083960444
VGG-A,train_dev,epoch0,0,d_random,0.01,2.3098039627075195,-1.71661376953125e-05,2.309821128845215,0.48702821135520935,0.9999999403953552,0.7436421513557434,74.36421203613281,0.010000000416792089
VGG-A,train_dev,epoch1,1,d_grad,-0.01,11.316707611083984,9.67300033569336,1.643707275390625,2.1004552841186523,1.0000001192092896,0.7322492003440857,73.22490692138672,0.010000001790787097
VGG-A,train_dev,epoch1,1,d_grad,-0.005,4.153946399688721,2.5102391242980957,1.643707275390625,2.1004552841186523,1.0000001192092896,0.36612460017204285,73.22490692138672,0.0050000008953935485
VGG-A,train_dev,epoch1,1,d_grad,-0.002,2.245297908782959,0.601590633392334,1.643707275390625,2.1004552841186523,1.0000001192092896,0.14644983410835266,73.22490692138672,0.002000000276758006
VGG-A,train_dev,epoch1,1,d_grad,-0.001,1.8750331401824951,0.23132586479187012,1.643707275390625,2.1004552841186523,1.0000001192092896,0.07322491705417633,73.22490692138672,0.001000000138379003
VGG-A,train_dev,epoch1,1,d_grad,0.0,1.64370596408844,-1.3113021850585938e-06,1.643707275390625,2.1004552841186523,1.0000001192092896,0.0,73.22490692138672,0.0
VGG-A,train_dev,epoch1,1,d_grad,0.001,1.5746514797210693,-0.06905579566955566,1.643707275390625,2.1004552841186523,1.0000001192092896,0.07322491705417633,73.22490692138672,0.001000000138379003
VGG-A,train_dev,epoch1,1,d_grad,0.002,1.6648483276367188,0.02114105224609375,1.643707275390625,2.1004552841186523,1.0000001192092896,0.14644983410835266,73.22490692138672,0.002000000276758006
VGG-A,train_dev,epoch1,1,d_grad,0.005,2.595761775970459,0.952054500579834,1.643707275390625,2.1004552841186523,1.0000001192092896,0.36612460017204285,73.22490692138672,0.0050000008953935485
VGG-A,train_dev,epoch1,1,d_grad,0.01,5.510588645935059,3.8668813705444336,1.643707275390625,2.1004552841186523,1.0000001192092896,0.7322492003440857,73.22490692138672,0.010000001790787097
VGG-A,train_dev,epoch1,1,d_random,-0.01,1.6435803174972534,-0.00012695789337158203,1.643707275390625,2.1004552841186523,1.0,0.7322491407394409,73.22490692138672,0.010000000976792963
VGG-A,train_dev,epoch1,1,d_random,-0.005,1.6436585187911987,-4.875659942626953e-05,1.643707275390625,2.1004552841186523,1.0,0.36612457036972046,73.22490692138672,0.005000000488396481
VGG-A,train_dev,epoch1,1,d_random,-0.002,1.6436847448349,-2.2530555725097656e-05,1.643707275390625,2.1004552841186523,1.0,0.14644983410835266,73.22490692138672,0.002000000276758006
VGG-A,train_dev,epoch1,1,d_random,-0.001,1.6436933279037476,-1.3947486877441406e-05,1.643707275390625,2.1004552841186523,1.0,0.07322491705417633,73.22490692138672,0.001000000138379003
VGG-A,train_dev,epoch1,1,d_random,0.0,1.6437053680419922,-1.9073486328125e-06,1.643707275390625,2.1004552841186523,1.0,0.0,73.22490692138672,0.0
VGG-A,train_dev,epoch1,1,d_random,0.001,1.6437382698059082,3.0994415283203125e-05,1.643707275390625,2.1004552841186523,1.0,0.07322491705417633,73.22490692138672,0.001000000138379003
VGG-A,train_dev,epoch1,1,d_random,0.002,1.6437416076660156,3.4332275390625e-05,1.643707275390625,2.1004552841186523,1.0,0.14644983410835266,73.22490692138672,0.002000000276758006
VGG-A,train_dev,epoch1,1,d_random,0.005,1.6438037157058716,9.644031524658203e-05,1.643707275390625,2.1004552841186523,1.0,0.36612457036972046,73.22490692138672,0.005000000488396481
VGG-A,train_dev,epoch1,1,d_random,0.01,1.6438924074172974,0.00018513202667236328,1.643707275390625,2.1004552841186523,1.0,0.7322491407394409,73.22490692138672,0.010000000976792963
VGG-A,train_dev,epoch5,5,d_grad,-0.01,10.272196769714355,9.367378056049347,0.9048187136650085,2.726621150970459,1.0,0.6920868754386902,69.20868682861328,0.010000000103347683
VGG-A,train_dev,epoch5,5,d_grad,-0.005,4.303830623626709,3.3990119099617004,0.9048187136650085,2.726621150970459,1.0,0.3460434377193451,69.20868682861328,0.0050000000516738415
VGG-A,train_dev,epoch5,5,d_grad,-0.002,1.7376346588134766,0.832815945148468,0.9048187136650085,2.726621150970459,1.0,0.13841739296913147,69.20868682861328,0.002000000279038742
VGG-A,train_dev,epoch5,5,d_grad,-0.001,1.2026124000549316,0.2977936863899231,0.9048187136650085,2.726621150970459,1.0,0.06920869648456573,69.20868682861328,0.001000000139519371
VGG-A,train_dev,epoch5,5,d_grad,0.0,0.904818594455719,-1.1920928955078125e-07,0.9048187136650085,2.726621150970459,1.0,0.0,69.20868682861328,0.0
VGG-A,train_dev,epoch5,5,d_grad,0.001,0.8183197379112244,-0.08649897575378418,0.9048187136650085,2.726621150970459,1.0,0.06920869648456573,69.20868682861328,0.001000000139519371
VGG-A,train_dev,epoch5,5,d_grad,0.002,0.9401899576187134,0.035371243953704834,0.9048187136650085,2.726621150970459,1.0,0.13841739296913147,69.20868682861328,0.002000000279038742
VGG-A,train_dev,epoch5,5,d_grad,0.005,2.6347179412841797,1.7298992276191711,0.9048187136650085,2.726621150970459,1.0,0.3460434377193451,69.20868682861328,0.0050000000516738415
VGG-A,train_dev,epoch5,5,d_grad,0.01,8.83475112915039,7.929932415485382,0.9048187136650085,2.726621150970459,1.0,0.6920868754386902,69.20868682861328,0.010000000103347683
VGG-A,train_dev,epoch5,5,d_random,-0.01,0.9044514298439026,-0.00036728382110595703,0.9048187136650085,2.726621150970459,0.9999999403953552,0.6920868754386902,69.20868682861328,0.010000000103347683
VGG-A,train_dev,epoch5,5,d_random,-0.005,0.9046164751052856,-0.0002022385597229004,0.9048187136650085,2.726621150970459,0.9999999403953552,0.3460434377193451,69.20868682861328,0.0050000000516738415
VGG-A,train_dev,epoch5,5,d_random,-0.002,0.9047084450721741,-0.00011026859283447266,0.9048187136650085,2.726621150970459,0.9999999403953552,0.13841737806797028,69.20868682861328,0.002000000063731071
VGG-A,train_dev,epoch5,5,d_random,-0.001,0.90479576587677,-2.294778823852539e-05,0.9048187136650085,2.726621150970459,0.9999999403953552,0.06920868903398514,69.20868682861328,0.0010000000318655354
VGG-A,train_dev,epoch5,5,d_random,0.0,0.9048219919204712,3.2782554626464844e-06,0.9048187136650085,2.726621150970459,0.9999999403953552,0.0,69.20868682861328,0.0
VGG-A,train_dev,epoch5,5,d_random,0.001,0.904869019985199,5.030632019042969e-05,0.9048187136650085,2.726621150970459,0.9999999403953552,0.06920868903398514,69.20868682861328,0.0010000000318655354
VGG-A,train_dev,epoch5,5,d_random,0.002,0.9049007892608643,8.207559585571289e-05,0.9048187136650085,2.726621150970459,0.9999999403953552,0.13841737806797028,69.20868682861328,0.002000000063731071
VGG-A,train_dev,epoch5,5,d_random,0.005,0.9050052762031555,0.00018656253814697266,0.9048187136650085,2.726621150970459,0.9999999403953552,0.3460434377193451,69.20868682861328,0.0050000000516738415
VGG-A,train_dev,epoch5,5,d_random,0.01,0.9051762819290161,0.00035756826400756836,0.9048187136650085,2.726621150970459,0.9999999403953552,0.6920868754386902,69.20868682861328,0.010000000103347683
VGG-A,train_dev,epoch10,10,d_grad,-0.01,10.97953987121582,10.281276762485504,0.6982631087303162,2.435718297958374,1.0,0.6498614549636841,64.98614501953125,0.010000000073375204
VGG-A,train_dev,epoch10,10,d_grad,-0.005,3.33898663520813,2.6407235264778137,0.6982631087303162,2.435718297958374,1.0,0.32493072748184204,64.98614501953125,0.005000000036687602
VGG-A,train_dev,epoch10,10,d_grad,-0.002,1.2726976871490479,0.5744345784187317,0.6982631087303162,2.435718297958374,1.0,0.12997229397296906,64.98614501953125,0.0020000000605345423
VGG-A,train_dev,epoch10,10,d_grad,-0.001,0.9159095287322998,0.21764642000198364,0.6982631087303162,2.435718297958374,1.0,0.06498614698648453,64.98614501953125,0.0010000000302672711
VGG-A,train_dev,epoch10,10,d_grad,0.0,0.6982605457305908,-2.562999725341797e-06,0.6982631087303162,2.435718297958374,1.0,0.0,64.98614501953125,0.0
VGG-A,train_dev,epoch10,10,d_grad,0.001,0.5998142957687378,-0.09844881296157837,0.6982631087303162,2.435718297958374,1.0,0.06498614698648453,64.98614501953125,0.0010000000302672711
VGG-A,train_dev,epoch10,10,d_grad,0.002,0.6081028580665588,-0.09016025066375732,0.6982631087303162,2.435718297958374,1.0,0.12997229397296906,64.98614501953125,0.0020000000605345423
VGG-A,train_dev,epoch10,10,d_grad,0.005,1.1522963047027588,0.4540331959724426,0.6982631087303162,2.435718297958374,1.0,0.32493072748184204,64.98614501953125,0.005000000036687602
VGG-A,train_dev,epoch10,10,d_grad,0.01,3.165372371673584,2.467109262943268,0.6982631087303162,2.435718297958374,1.0,0.6498614549636841,64.98614501953125,0.010000000073375204
VGG-A,train_dev,epoch10,10,d_random,-0.01,0.6991512775421143,0.0008881688117980957,0.6982631087303162,2.435718297958374,1.0,0.6498614549636841,64.98614501953125,0.010000000073375204
VGG-A,train_dev,epoch10,10,d_random,-0.005,0.6987116932868958,0.00044858455657958984,0.6982631087303162,2.435718297958374,1.0,0.32493072748184204,64.98614501953125,0.005000000036687602
VGG-A,train_dev,epoch10,10,d_random,-0.002,0.6984074115753174,0.0001443028450012207,0.6982631087303162,2.435718297958374,1.0,0.12997229397296906,64.98614501953125,0.0020000000605345423
VGG-A,train_dev,epoch10,10,d_random,-0.001,0.6983331441879272,7.003545761108398e-05,0.6982631087303162,2.435718297958374,1.0,0.06498614698648453,64.98614501953125,0.0010000000302672711
VGG-A,train_dev,epoch10,10,d_random,0.0,0.6982591152191162,-3.993511199951172e-06,0.6982631087303162,2.435718297958374,1.0,0.0,64.98614501953125,0.0
VGG-A,train_dev,epoch10,10,d_random,0.001,0.6981377601623535,-0.00012534856796264648,0.6982631087303162,2.435718297958374,1.0,0.06498614698648453,64.98614501953125,0.0010000000302672711
VGG-A,train_dev,epoch10,10,d_random,0.002,0.6980440616607666,-0.00021904706954956055,0.6982631087303162,2.435718297958374,1.0,0.12997229397296906,64.98614501953125,0.0020000000605345423
VGG-A,train_dev,epoch10,10,d_random,0.005,0.6977881789207458,-0.0004749298095703125,0.6982631087303162,2.435718297958374,1.0,0.32493072748184204,64.98614501953125,0.005000000036687602
VGG-A,train_dev,epoch10,10,d_random,0.01,0.697317361831665,-0.000945746898651123,0.6982631087303162,2.435718297958374,1.0,0.6498614549636841,64.98614501953125,0.010000000073375204
VGG-A,train_dev,epoch20,20,d_grad,-0.01,2.869539976119995,2.541817784309387,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.5871231555938721,58.712318420410156,0.009999999512704826
VGG-A,train_dev,epoch20,20,d_grad,-0.005,1.1091272830963135,0.7814050912857056,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.29356157779693604,58.712318420410156,0.004999999756352413
VGG-A,train_dev,epoch20,20,d_grad,-0.002,0.5783163905143738,0.25059419870376587,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.11742463707923889,58.712318420410156,0.002000000004060793
VGG-A,train_dev,epoch20,20,d_grad,-0.001,0.441561222076416,0.1138390302658081,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.058712318539619446,58.712318420410156,0.0010000000020303965
VGG-A,train_dev,epoch20,20,d_grad,0.0,0.3277238607406616,1.6689300537109375e-06,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.0,58.712318420410156,0.0
VGG-A,train_dev,epoch20,20,d_grad,0.001,0.2594526410102844,-0.06826955080032349,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.058712318539619446,58.712318420410156,0.0010000000020303965
VGG-A,train_dev,epoch20,20,d_grad,0.002,0.23955324292182922,-0.08816894888877869,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.11742463707923889,58.712318420410156,0.002000000004060793
VGG-A,train_dev,epoch20,20,d_grad,0.005,0.3773624897003174,0.04964029788970947,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.29356157779693604,58.712318420410156,0.004999999756352413
VGG-A,train_dev,epoch20,20,d_grad,0.01,1.1941053867340088,0.8663831949234009,0.3277221918106079,1.6497515439987183,0.9999999403953552,0.5871231555938721,58.712318420410156,0.009999999512704826
VGG-A,train_dev,epoch20,20,d_random,-0.01,0.32751980423927307,-0.00020238757133483887,0.3277221918106079,1.6497515439987183,1.0,0.5871232151985168,58.712318420410156,0.010000000527903107
VGG-A,train_dev,epoch20,20,d_random,-0.005,0.32761093974113464,-0.0001112520694732666,0.3277221918106079,1.6497515439987183,1.0,0.2935616075992584,58.712318420410156,0.005000000263951553
VGG-A,train_dev,epoch20,20,d_random,-0.002,0.32766562700271606,-5.65648078918457e-05,0.3277221918106079,1.6497515439987183,1.0,0.11742464452981949,58.712318420410156,0.0020000001309605784
VGG-A,train_dev,epoch20,20,d_random,-0.001,0.3277101218700409,-1.2069940567016602e-05,0.3277221918106079,1.6497515439987183,1.0,0.058712322264909744,58.712318420410156,0.0010000000654802892
VGG-A,train_dev,epoch20,20,d_random,0.0,0.3277244567871094,2.2649765014648438e-06,0.3277221918106079,1.6497515439987183,1.0,0.0,58.712318420410156,0.0
VGG-A,train_dev,epoch20,20,d_random,0.001,0.3277546167373657,3.24249267578125e-05,0.3277221918106079,1.6497515439987183,1.0,0.058712322264909744,58.712318420410156,0.0010000000654802892
VGG-A,train_dev,epoch20,20,d_random,0.002,0.327771931886673,4.9740076065063477e-05,0.3277221918106079,1.6497515439987183,1.0,0.11742464452981949,58.712318420410156,0.0020000001309605784
VGG-A,train_dev,epoch20,20,d_random,0.005,0.32785242795944214,0.00013023614883422852,0.3277221918106079,1.6497515439987183,1.0,0.2935616075992584,58.712318420410156,0.005000000263951553
VGG-A,train_dev,epoch20,20,d_random,0.01,0.3279597759246826,0.00023758411407470703,0.3277221918106079,1.6497515439987183,1.0,0.5871232151985168,58.712318420410156,0.010000000527903107
VGG-A,train_dev,epoch30,30,d_grad,-0.01,2.9931275844573975,2.7799199372529984,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.5509936213493347,55.099365234375,0.009999999437481446
VGG-A,train_dev,epoch30,30,d_grad,-0.005,1.1672545671463013,0.9540469199419022,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.27549681067466736,55.099365234375,0.004999999718740723
VGG-A,train_dev,epoch30,30,d_grad,-0.002,0.4972161650657654,0.28400851786136627,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.11019871383905411,55.099365234375,0.00199999969818716
VGG-A,train_dev,epoch30,30,d_grad,-0.001,0.3458632826805115,0.13265563547611237,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.055099356919527054,55.099365234375,0.00099999984909358
VGG-A,train_dev,epoch30,30,d_grad,0.0,0.21321037411689758,2.726912498474121e-06,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.0,55.099365234375,0.0
VGG-A,train_dev,epoch30,30,d_grad,0.001,0.14379249513149261,-0.0694151520729065,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.055099356919527054,55.099365234375,0.00099999984909358
VGG-A,train_dev,epoch30,30,d_grad,0.002,0.13839928805828094,-0.07480835914611816,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.11019871383905411,55.099365234375,0.00199999969818716
VGG-A,train_dev,epoch30,30,d_grad,0.005,0.3086264431476593,0.09541879594326019,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.27549681067466736,55.099365234375,0.004999999718740723
VGG-A,train_dev,epoch30,30,d_grad,0.01,1.3157621622085571,1.102554515004158,0.2132076472043991,1.9863383769989014,0.9999998807907104,0.5509936213493347,55.099365234375,0.009999999437481446
VGG-A,train_dev,epoch30,30,d_random,-0.01,0.2135050892829895,0.00029744207859039307,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.5509936809539795,55.099365234375,0.010000000519247897
VGG-A,train_dev,epoch30,30,d_random,-0.005,0.21336333453655243,0.0001556873321533203,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.27549684047698975,55.099365234375,0.005000000259623948
VGG-A,train_dev,epoch30,30,d_random,-0.002,0.21328113973140717,7.349252700805664e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.1101987287402153,55.099365234375,0.001999999968628773
VGG-A,train_dev,epoch30,30,d_random,-0.001,0.21326987445354462,6.222724914550781e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.05509936437010765,55.099365234375,0.0009999999843143864
VGG-A,train_dev,epoch30,30,d_random,0.0,0.2132117748260498,4.127621650695801e-06,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.0,55.099365234375,0.0
VGG-A,train_dev,epoch30,30,d_random,0.001,0.21318122744560242,-2.6419758796691895e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.05509936437010765,55.099365234375,0.0009999999843143864
VGG-A,train_dev,epoch30,30,d_random,0.002,0.21314409375190735,-6.355345249176025e-05,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.1101987287402153,55.099365234375,0.001999999968628773
VGG-A,train_dev,epoch30,30,d_random,0.005,0.21303308010101318,-0.0001745671033859253,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.27549684047698975,55.099365234375,0.005000000259623948
VGG-A,train_dev,epoch30,30,d_random,0.01,0.21289679408073425,-0.00031085312366485596,0.2132076472043991,1.9863383769989014,0.9999999403953552,0.5509936809539795,55.099365234375,0.010000000519247897
VGG-A,train_dev,best-val,50,d_grad,-0.01,1.8652234077453613,1.7950608283281326,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A,train_dev,best-val,50,d_grad,-0.005,0.7031794786453247,0.633016899228096,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_grad,-0.002,0.286573201417923,0.21641062200069427,0.0701625794172287,1.5196115970611572,1.0,0.10646792501211166,53.23396301269531,0.0019999999809655546
VGG-A,train_dev,best-val,50,d_grad,-0.001,0.17448431253433228,0.10432173311710358,0.0701625794172287,1.5196115970611572,1.0,0.05323396250605583,53.23396301269531,0.0009999999904827773
VGG-A,train_dev,best-val,50,d_grad,0.0,0.0701596662402153,-2.913177013397217e-06,0.0701625794172287,1.5196115970611572,1.0,0.0,53.23396301269531,0.0
VGG-A,train_dev,best-val,50,d_grad,0.001,0.03366449475288391,-0.03649808466434479,0.0701625794172287,1.5196115970611572,1.0,0.05323396250605583,53.23396301269531,0.0009999999904827773
VGG-A,train_dev,best-val,50,d_grad,0.002,0.03475797176361084,-0.03540460765361786,0.0701625794172287,1.5196115970611572,1.0,0.10646792501211166,53.23396301269531,0.0019999999809655546
VGG-A,train_dev,best-val,50,d_grad,0.005,0.1680009514093399,0.0978383719921112,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_grad,0.01,1.0842094421386719,1.0140468627214432,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A,train_dev,best-val,50,d_random,-0.01,0.0707886815071106,0.000626102089881897,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A,train_dev,best-val,50,d_random,-0.005,0.07048390060663223,0.00032132118940353394,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_random,-0.002,0.07029101252555847,0.00012843310832977295,0.0701625794172287,1.5196115970611572,1.0,0.10646793246269226,53.23396301269531,0.0020000001209247117
VGG-A,train_dev,best-val,50,d_random,-0.001,0.07022525370121002,6.267428398132324e-05,0.0701625794172287,1.5196115970611572,1.0,0.05323396623134613,53.23396301269531,0.0010000000604623558
VGG-A,train_dev,best-val,50,d_random,0.0,0.07016193866729736,-6.407499313354492e-07,0.0701625794172287,1.5196115970611572,1.0,0.0,53.23396301269531,0.0
VGG-A,train_dev,best-val,50,d_random,0.001,0.0701245591044426,-3.8020312786102295e-05,0.0701625794172287,1.5196115970611572,1.0,0.05323396623134613,53.23396301269531,0.0010000000604623558
VGG-A,train_dev,best-val,50,d_random,0.002,0.07005442678928375,-0.00010815262794494629,0.0701625794172287,1.5196115970611572,1.0,0.10646793246269226,53.23396301269531,0.0020000001209247117
VGG-A,train_dev,best-val,50,d_random,0.005,0.06987864524126053,-0.00028393417596817017,0.0701625794172287,1.5196115970611572,1.0,0.26616981625556946,53.23396301269531,0.005000000022393465
VGG-A,train_dev,best-val,50,d_random,0.01,0.06962355971336365,-0.0005390197038650513,0.0701625794172287,1.5196115970611572,1.0,0.5323396325111389,53.23396301269531,0.01000000004478693
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.01,13.920844078063965,11.379246234893799,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.005,7.607375621795654,5.065777778625488,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.002,4.257075309753418,1.715477466583252,2.541597843170166,7.753987789154053,1.0,0.18201136589050293,91.00569152832031,0.0019999998113729217
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.001,3.3244223594665527,0.7828245162963867,2.541597843170166,7.753987789154053,1.0,0.09100568294525146,91.00569152832031,0.0009999999056864608
VGG-A-BN,train_dev,epoch0,0,d_grad,0.0,2.541644811630249,4.696846008300781e-05,2.541597843170166,7.753987789154053,1.0,0.0,91.00569152832031,0.0
VGG-A-BN,train_dev,epoch0,0,d_grad,0.001,2.0911848545074463,-0.4504129886627197,2.541597843170166,7.753987789154053,1.0,0.09100568294525146,91.00569152832031,0.0009999999056864608
VGG-A-BN,train_dev,epoch0,0,d_grad,0.002,2.0014796257019043,-0.5401182174682617,2.541597843170166,7.753987789154053,1.0,0.18201136589050293,91.00569152832031,0.0019999998113729217
VGG-A-BN,train_dev,epoch0,0,d_grad,0.005,2.6023077964782715,0.06070995330810547,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_grad,0.01,4.295045852661133,1.7534480094909668,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
VGG-A-BN,train_dev,epoch0,0,d_random,-0.01,2.5410852432250977,-0.0005125999450683594,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
