model,probe_split,snapshot_label,snapshot_epoch,direction,alpha,loss,loss_delta,base_loss,grad_norm,direction_l2_norm,delta_norm,weight_norm,relative_perturbation_norm
VGG-A-BN,train_dev,epoch0,0,d_random,-0.005,2.54119873046875,-0.0003991127014160156,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_random,-0.002,2.541364908218384,-0.00023293495178222656,2.541597843170166,7.753987789154053,1.0,0.18201138079166412,91.00569152832031,0.001999999975111705
VGG-A-BN,train_dev,epoch0,0,d_random,-0.001,2.5415329933166504,-6.4849853515625e-05,2.541597843170166,7.753987789154053,1.0,0.09100569039583206,91.00569152832031,0.0009999999875558525
VGG-A-BN,train_dev,epoch0,0,d_random,0.0,2.5416245460510254,2.6702880859375e-05,2.541597843170166,7.753987789154053,1.0,0.0,91.00569152832031,0.0
VGG-A-BN,train_dev,epoch0,0,d_random,0.001,2.5416886806488037,9.083747863769531e-05,2.541597843170166,7.753987789154053,1.0,0.09100569039583206,91.00569152832031,0.0009999999875558525
VGG-A-BN,train_dev,epoch0,0,d_random,0.002,2.5418732166290283,0.0002753734588623047,2.541597843170166,7.753987789154053,1.0,0.18201138079166412,91.00569152832031,0.001999999975111705
VGG-A-BN,train_dev,epoch0,0,d_random,0.005,2.5422234535217285,0.0006256103515625,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_random,0.01,2.5425353050231934,0.0009374618530273438,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
VGG-A-BN,train_dev,epoch1,1,d_grad,-0.01,2.8407249450683594,1.4802577495574951,1.3604671955108643,1.4210238456726074,1.0,0.8968549370765686,89.68550109863281,0.00999999917590069
VGG-A-BN,train_dev,epoch1,1,d_grad,-0.005,2.289808988571167,0.9293417930603027,1.3604671955108643,1.4210238456726074,1.0,0.4484274685382843,89.68550109863281,0.004999999587950345
VGG-A-BN,train_dev,epoch1,1,d_grad,-0.002,1.692240595817566,0.33177340030670166,1.3604671955108643,1.4210238456726074,1.0,0.17937099933624268,89.68550109863281,0.0019999999680993816
VGG-A-BN,train_dev,epoch1,1,d_grad,-0.001,1.5089255571365356,0.1484583616256714,1.3604671955108643,1.4210238456726074,1.0,0.08968549966812134,89.68550109863281,0.0009999999840496908
VGG-A-BN,train_dev,epoch1,1,d_grad,0.0,1.3604681491851807,9.5367431640625e-07,1.3604671955108643,1.4210238456726074,1.0,0.0,89.68550109863281,0.0
VGG-A-BN,train_dev,epoch1,1,d_grad,0.001,1.2650902271270752,-0.09537696838378906,1.3604671955108643,1.4210238456726074,1.0,0.08968549966812134,89.68550109863281,0.0009999999840496908
VGG-A-BN,train_dev,epoch1,1,d_grad,0.002,1.227912187576294,-0.1325550079345703,1.3604671955108643,1.4210238456726074,1.0,0.17937099933624268,89.68550109863281,0.0019999999680993816
VGG-A-BN,train_dev,epoch1,1,d_grad,0.005,1.4088585376739502,0.04839134216308594,1.3604671955108643,1.4210238456726074,1.0,0.4484274685382843,89.68550109863281,0.004999999587950345
VGG-A-BN,train_dev,epoch1,1,d_grad,0.01,2.286456346511841,0.9259891510009766,1.3604671955108643,1.4210238456726074,1.0,0.8968549370765686,89.68550109863281,0.00999999917590069
VGG-A-BN,train_dev,epoch1,1,d_random,-0.01,1.3597908020019531,-0.0006763935089111328,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.8968549370765686,89.68550109863281,0.00999999917590069
VGG-A-BN,train_dev,epoch1,1,d_random,-0.005,1.3601202964782715,-0.00034689903259277344,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.4484274685382843,89.68550109863281,0.004999999587950345
VGG-A-BN,train_dev,epoch1,1,d_random,-0.002,1.3603038787841797,-0.0001633167266845703,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.17937098443508148,89.68550109863281,0.0019999998019503275
VGG-A-BN,train_dev,epoch1,1,d_random,-0.001,1.360377550125122,-8.96453857421875e-05,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.08968549221754074,89.68550109863281,0.0009999999009751637
VGG-A-BN,train_dev,epoch1,1,d_random,0.0,1.3604696989059448,2.5033950805664062e-06,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.0,89.68550109863281,0.0
VGG-A-BN,train_dev,epoch1,1,d_random,0.001,1.360520601272583,5.340576171875e-05,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.08968549221754074,89.68550109863281,0.0009999999009751637
VGG-A-BN,train_dev,epoch1,1,d_random,0.002,1.3605961799621582,0.0001289844512939453,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.17937098443508148,89.68550109863281,0.0019999998019503275
VGG-A-BN,train_dev,epoch1,1,d_random,0.005,1.360870361328125,0.0004031658172607422,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.4484274685382843,89.68550109863281,0.004999999587950345
VGG-A-BN,train_dev,epoch1,1,d_random,0.01,1.3613240718841553,0.0008568763732910156,1.3604671955108643,1.4210238456726074,0.9999999403953552,0.8968549370765686,89.68550109863281,0.00999999917590069
VGG-A-BN,train_dev,epoch5,5,d_grad,-0.01,2.288097620010376,1.452749490737915,0.8353481292724609,1.4849275350570679,1.0,0.8436429500579834,84.36429595947266,0.009999999886957591
VGG-A-BN,train_dev,epoch5,5,d_grad,-0.005,1.6243715286254883,0.7890233993530273,0.8353481292724609,1.4849275350570679,1.0,0.4218214750289917,84.36429595947266,0.004999999943478796
VGG-A-BN,train_dev,epoch5,5,d_grad,-0.002,1.1396650075912476,0.3043168783187866,0.8353481292724609,1.4849275350570679,1.0,0.16872859001159668,84.36429595947266,0.0019999999773915185
VGG-A-BN,train_dev,epoch5,5,d_grad,-0.001,0.9788600206375122,0.14351189136505127,0.8353481292724609,1.4849275350570679,1.0,0.08436429500579834,84.36429595947266,0.0009999999886957593
VGG-A-BN,train_dev,epoch5,5,d_grad,0.0,0.8353501558303833,2.0265579223632812e-06,0.8353481292724609,1.4849275350570679,1.0,0.0,84.36429595947266,0.0
VGG-A-BN,train_dev,epoch5,5,d_grad,0.001,0.7406756281852722,-0.09467250108718872,0.8353481292724609,1.4849275350570679,1.0,0.08436429500579834,84.36429595947266,0.0009999999886957593
VGG-A-BN,train_dev,epoch5,5,d_grad,0.002,0.7033243775367737,-0.13202375173568726,0.8353481292724609,1.4849275350570679,1.0,0.16872859001159668,84.36429595947266,0.0019999999773915185
VGG-A-BN,train_dev,epoch5,5,d_grad,0.005,0.7616021037101746,-0.07374602556228638,0.8353481292724609,1.4849275350570679,1.0,0.4218214750289917,84.36429595947266,0.004999999943478796
VGG-A-BN,train_dev,epoch5,5,d_grad,0.01,1.0816130638122559,0.24626493453979492,0.8353481292724609,1.4849275350570679,1.0,0.8436429500579834,84.36429595947266,0.009999999886957591
VGG-A-BN,train_dev,epoch5,5,d_random,-0.01,0.8348895311355591,-0.00045859813690185547,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.8436428904533386,84.36429595947266,0.009999999180442542
VGG-A-BN,train_dev,epoch5,5,d_random,-0.005,0.8350886106491089,-0.0002595186233520508,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.4218214452266693,84.36429595947266,0.004999999590221271
VGG-A-BN,train_dev,epoch5,5,d_random,-0.002,0.8352382183074951,-0.00010991096496582031,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.16872857511043549,84.36429595947266,0.0019999998007627557
VGG-A-BN,train_dev,epoch5,5,d_random,-0.001,0.8352858424186707,-6.22868537902832e-05,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.08436428755521774,84.36429595947266,0.0009999999003813779
VGG-A-BN,train_dev,epoch5,5,d_random,0.0,0.8353444933891296,-3.635883331298828e-06,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.0,84.36429595947266,0.0
VGG-A-BN,train_dev,epoch5,5,d_random,0.001,0.8353790640830994,3.0934810638427734e-05,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.08436428755521774,84.36429595947266,0.0009999999003813779
VGG-A-BN,train_dev,epoch5,5,d_random,0.002,0.8354315757751465,8.344650268554688e-05,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.16872857511043549,84.36429595947266,0.0019999998007627557
VGG-A-BN,train_dev,epoch5,5,d_random,0.005,0.8356232047080994,0.00027507543563842773,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.4218214452266693,84.36429595947266,0.004999999590221271
VGG-A-BN,train_dev,epoch5,5,d_random,0.01,0.8358826637268066,0.0005345344543457031,0.8353481292724609,1.4849275350570679,0.9999999403953552,0.8436428904533386,84.36429595947266,0.009999999180442542
VGG-A-BN,train_dev,epoch10,10,d_grad,-0.01,2.018021821975708,1.434953212738037,0.5830686092376709,1.3167686462402344,1.0,0.7856175899505615,78.56175231933594,0.010000000849741767
VGG-A-BN,train_dev,epoch10,10,d_grad,-0.005,1.2719050645828247,0.6888364553451538,0.5830686092376709,1.3167686462402344,1.0,0.39280879497528076,78.56175231933594,0.005000000424870883
VGG-A-BN,train_dev,epoch10,10,d_grad,-0.002,0.8237395286560059,0.24067091941833496,0.5830686092376709,1.3167686462402344,1.0,0.15712352097034454,78.56175231933594,0.0020000002078832536
VGG-A-BN,train_dev,epoch10,10,d_grad,-0.001,0.6957940459251404,0.11272543668746948,0.5830686092376709,1.3167686462402344,1.0,0.07856176048517227,78.56175231933594,0.0010000001039416268
VGG-A-BN,train_dev,epoch10,10,d_grad,0.0,0.5830687880516052,1.7881393432617188e-07,0.5830686092376709,1.3167686462402344,1.0,0.0,78.56175231933594,0.0
VGG-A-BN,train_dev,epoch10,10,d_grad,0.001,0.4985741674900055,-0.0844944417476654,0.5830686092376709,1.3167686462402344,1.0,0.07856176048517227,78.56175231933594,0.0010000001039416268
VGG-A-BN,train_dev,epoch10,10,d_grad,0.002,0.44825679063796997,-0.13481181859970093,0.5830686092376709,1.3167686462402344,1.0,0.15712352097034454,78.56175231933594,0.0020000002078832536
VGG-A-BN,train_dev,epoch10,10,d_grad,0.005,0.4469025135040283,-0.13616609573364258,0.5830686092376709,1.3167686462402344,1.0,0.39280879497528076,78.56175231933594,0.005000000424870883
VGG-A-BN,train_dev,epoch10,10,d_grad,0.01,0.8090816140174866,0.22601300477981567,0.5830686092376709,1.3167686462402344,1.0,0.7856175899505615,78.56175231933594,0.010000000849741767
VGG-A-BN,train_dev,epoch10,10,d_random,-0.01,0.5827496647834778,-0.00031894445419311523,0.5830686092376709,1.3167686462402344,1.0,0.785617470741272,78.56175231933594,0.009999999332345756
VGG-A-BN,train_dev,epoch10,10,d_random,-0.005,0.5829083323478699,-0.0001602768898010254,0.5830686092376709,1.3167686462402344,1.0,0.392808735370636,78.56175231933594,0.004999999666172878
VGG-A-BN,train_dev,epoch10,10,d_random,-0.002,0.5830074548721313,-6.115436553955078e-05,0.5830686092376709,1.3167686462402344,1.0,0.15712350606918335,78.56175231933594,0.0020000000182087523
VGG-A-BN,train_dev,epoch10,10,d_random,-0.001,0.5830668210983276,-1.7881393432617188e-06,0.5830686092376709,1.3167686462402344,1.0,0.07856175303459167,78.56175231933594,0.0010000000091043761
VGG-A-BN,train_dev,epoch10,10,d_random,0.0,0.583066463470459,-2.1457672119140625e-06,0.5830686092376709,1.3167686462402344,1.0,0.0,78.56175231933594,0.0
VGG-A-BN,train_dev,epoch10,10,d_random,0.001,0.5831197500228882,5.1140785217285156e-05,0.5830686092376709,1.3167686462402344,1.0,0.07856175303459167,78.56175231933594,0.0010000000091043761
VGG-A-BN,train_dev,epoch10,10,d_random,0.002,0.5831642746925354,9.566545486450195e-05,0.5830686092376709,1.3167686462402344,1.0,0.15712350606918335,78.56175231933594,0.0020000000182087523
VGG-A-BN,train_dev,epoch10,10,d_random,0.005,0.5833065509796143,0.00023794174194335938,0.5830686092376709,1.3167686462402344,1.0,0.392808735370636,78.56175231933594,0.004999999666172878
VGG-A-BN,train_dev,epoch10,10,d_random,0.01,0.583575963973999,0.000507354736328125,0.5830686092376709,1.3167686462402344,1.0,0.785617470741272,78.56175231933594,0.009999999332345756
VGG-A-BN,train_dev,epoch20,20,d_grad,-0.01,1.8279497623443604,1.4590456783771515,0.36890408396720886,1.5920851230621338,1.0,0.6984803676605225,69.8480453491211,0.009999998771179809
VGG-A-BN,train_dev,epoch20,20,d_grad,-0.005,1.053602695465088,0.684698611497879,0.36890408396720886,1.5920851230621338,1.0,0.34924018383026123,69.8480453491211,0.004999999385589904
VGG-A-BN,train_dev,epoch20,20,d_grad,-0.002,0.6194697022438049,0.25056561827659607,0.36890408396720886,1.5920851230621338,1.0,0.13969610631465912,69.8480453491211,0.002000000223577007
VGG-A-BN,train_dev,epoch20,20,d_grad,-0.001,0.4888114333152771,0.11990734934806824,0.36890408396720886,1.5920851230621338,1.0,0.06984805315732956,69.8480453491211,0.0010000001117885036
VGG-A-BN,train_dev,epoch20,20,d_grad,0.0,0.3689030110836029,-1.0728836059570312e-06,0.36890408396720886,1.5920851230621338,1.0,0.0,69.8480453491211,0.0
VGG-A-BN,train_dev,epoch20,20,d_grad,0.001,0.27666544914245605,-0.09223863482475281,0.36890408396720886,1.5920851230621338,1.0,0.06984805315732956,69.8480453491211,0.0010000001117885036
VGG-A-BN,train_dev,epoch20,20,d_grad,0.002,0.21825703978538513,-0.15064704418182373,0.36890408396720886,1.5920851230621338,1.0,0.13969610631465912,69.8480453491211,0.002000000223577007
VGG-A-BN,train_dev,epoch20,20,d_grad,0.005,0.18279600143432617,-0.1861080825328827,0.36890408396720886,1.5920851230621338,1.0,0.34924018383026123,69.8480453491211,0.004999999385589904
VGG-A-BN,train_dev,epoch20,20,d_grad,0.01,0.3908279836177826,0.02192389965057373,0.36890408396720886,1.5920851230621338,1.0,0.6984803676605225,69.8480453491211,0.009999998771179809
VGG-A-BN,train_dev,epoch20,20,d_random,-0.01,0.3684866428375244,-0.00041744112968444824,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.6984803676605225,69.8480453491211,0.009999998771179809
VGG-A-BN,train_dev,epoch20,20,d_random,-0.005,0.36869776248931885,-0.00020632147789001465,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.34924018383026123,69.8480453491211,0.004999999385589904
VGG-A-BN,train_dev,epoch20,20,d_random,-0.002,0.3688424229621887,-6.16610050201416e-05,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.13969610631465912,69.8480453491211,0.002000000223577007
VGG-A-BN,train_dev,epoch20,20,d_random,-0.001,0.36888986825942993,-1.4215707778930664e-05,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.06984805315732956,69.8480453491211,0.0010000001117885036
VGG-A-BN,train_dev,epoch20,20,d_random,0.0,0.3689035177230835,-5.662441253662109e-07,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.0,69.8480453491211,0.0
VGG-A-BN,train_dev,epoch20,20,d_random,0.001,0.36896079778671265,5.671381950378418e-05,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.06984805315732956,69.8480453491211,0.0010000001117885036
VGG-A-BN,train_dev,epoch20,20,d_random,0.002,0.3690323829650879,0.00012829899787902832,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.13969610631465912,69.8480453491211,0.002000000223577007
VGG-A-BN,train_dev,epoch20,20,d_random,0.005,0.3691510558128357,0.00024697184562683105,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.34924018383026123,69.8480453491211,0.004999999385589904
VGG-A-BN,train_dev,epoch20,20,d_random,0.01,0.3694370687007904,0.000532984733581543,0.36890408396720886,1.5920851230621338,0.9999999403953552,0.6984803676605225,69.8480453491211,0.009999998771179809
VGG-A-BN,train_dev,epoch30,30,d_grad,-0.01,1.9776337146759033,1.7474232763051987,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.6478971838951111,64.78971099853516,0.01000000114076384
VGG-A-BN,train_dev,epoch30,30,d_grad,-0.005,1.1260298490524292,0.8958194106817245,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.32394859194755554,64.78971099853516,0.00500000057038192
VGG-A-BN,train_dev,epoch30,30,d_grad,-0.002,0.5765234231948853,0.3463129848241806,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.12957942485809326,64.78971099853516,0.0020000000441586004
VGG-A-BN,train_dev,epoch30,30,d_grad,-0.001,0.39469513297080994,0.16448469460010529,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.06478971242904663,64.78971099853516,0.0010000000220793002
VGG-A-BN,train_dev,epoch30,30,d_grad,0.0,0.23021936416625977,8.925795555114746e-06,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.0,64.78971099853516,0.0
VGG-A-BN,train_dev,epoch30,30,d_grad,0.001,0.14017243683338165,-0.090038001537323,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.06478971242904663,64.78971099853516,0.0010000000220793002
VGG-A-BN,train_dev,epoch30,30,d_grad,0.002,0.10851027071475983,-0.12170016765594482,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.12957942485809326,64.78971099853516,0.0020000000441586004
VGG-A-BN,train_dev,epoch30,30,d_grad,0.005,0.14474524557590485,-0.0854651927947998,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.32394859194755554,64.78971099853516,0.00500000057038192
VGG-A-BN,train_dev,epoch30,30,d_grad,0.01,0.41624462604522705,0.1860341876745224,0.23021043837070465,2.1564011573791504,1.0000001192092896,0.6478971838951111,64.78971099853516,0.01000000114076384
VGG-A-BN,train_dev,epoch30,30,d_random,-0.01,0.22996249794960022,-0.00024794042110443115,0.23021043837070465,2.1564011573791504,1.0,0.6478971838951111,64.78971099853516,0.01000000114076384
VGG-A-BN,train_dev,epoch30,30,d_random,-0.005,0.2300911247730255,-0.00011931359767913818,0.23021043837070465,2.1564011573791504,1.0,0.32394859194755554,64.78971099853516,0.00500000057038192
VGG-A-BN,train_dev,epoch30,30,d_random,-0.002,0.23015418648719788,-5.62518835067749e-05,0.23021043837070465,2.1564011573791504,1.0,0.12957943975925446,64.78971099853516,0.0020000002741513098
VGG-A-BN,train_dev,epoch30,30,d_random,-0.001,0.23018430173397064,-2.613663673400879e-05,0.23021043837070465,2.1564011573791504,1.0,0.06478971987962723,64.78971099853516,0.0010000001370756549
VGG-A-BN,train_dev,epoch30,30,d_random,0.0,0.23022234439849854,1.1906027793884277e-05,0.23021043837070465,2.1564011573791504,1.0,0.0,64.78971099853516,0.0
VGG-A-BN,train_dev,epoch30,30,d_random,0.001,0.23023667931556702,2.6240944862365723e-05,0.23021043837070465,2.1564011573791504,1.0,0.06478971987962723,64.78971099853516,0.0010000001370756549
VGG-A-BN,train_dev,epoch30,30,d_random,0.002,0.23027297854423523,6.254017353057861e-05,0.23021043837070465,2.1564011573791504,1.0,0.12957943975925446,64.78971099853516,0.0020000002741513098
VGG-A-BN,train_dev,epoch30,30,d_random,0.005,0.23038554191589355,0.0001751035451889038,0.23021043837070465,2.1564011573791504,1.0,0.32394859194755554,64.78971099853516,0.00500000057038192
VGG-A-BN,train_dev,epoch30,30,d_random,0.01,0.23059333860874176,0.0003829002380371094,0.23021043837070465,2.1564011573791504,1.0,0.6478971838951111,64.78971099853516,0.01000000114076384
VGG-A-BN,train_dev,best-val,48,d_grad,-0.01,1.5244996547698975,1.4404221773147583,0.08407747745513916,2.52111554145813,0.9999998807907104,0.6221736669540405,62.21736526489258,0.010000000229921577
VGG-A-BN,train_dev,best-val,48,d_grad,-0.005,0.8705428838729858,0.7864654064178467,0.08407747745513916,2.52111554145813,0.9999998807907104,0.31108683347702026,62.21736526489258,0.005000000114960788
VGG-A-BN,train_dev,best-val,48,d_grad,-0.002,0.4318133592605591,0.3477358818054199,0.08407747745513916,2.52111554145813,0.9999998807907104,0.12443473190069199,62.21736526489258,0.002000000022034151
VGG-A-BN,train_dev,best-val,48,d_grad,-0.001,0.260736882686615,0.17665940523147583,0.08407747745513916,2.52111554145813,0.9999998807907104,0.06221736595034599,62.21736526489258,0.0010000000110170755
VGG-A-BN,train_dev,best-val,48,d_grad,0.0,0.08407892286777496,1.4454126358032227e-06,0.08407747745513916,2.52111554145813,0.9999998807907104,0.0,62.21736526489258,0.0
VGG-A-BN,train_dev,best-val,48,d_grad,0.001,0.01449666265398264,-0.06958081480115652,0.08407747745513916,2.52111554145813,0.9999998807907104,0.06221736595034599,62.21736526489258,0.0010000000110170755
VGG-A-BN,train_dev,best-val,48,d_grad,0.002,0.010341402143239975,-0.07373607531189919,0.08407747745513916,2.52111554145813,0.9999998807907104,0.12443473190069199,62.21736526489258,0.002000000022034151
VGG-A-BN,train_dev,best-val,48,d_grad,0.005,0.04236379265785217,-0.04171368479728699,0.08407747745513916,2.52111554145813,0.9999998807907104,0.31108683347702026,62.21736526489258,0.005000000114960788
VGG-A-BN,train_dev,best-val,48,d_grad,0.01,0.30011534690856934,0.21603786945343018,0.08407747745513916,2.52111554145813,0.9999998807907104,0.6221736669540405,62.21736526489258,0.010000000229921577
VGG-A-BN,train_dev,best-val,48,d_random,-0.01,0.08389076590538025,-0.00018671154975891113,0.08407747745513916,2.52111554145813,1.0000001192092896,0.6221737861633301,62.21736526489258,0.01000000214593472
VGG-A-BN,train_dev,best-val,48,d_random,-0.005,0.08399368077516556,-8.37966799736023e-05,0.08407747745513916,2.52111554145813,1.0000001192092896,0.31108689308166504,62.21736526489258,0.00500000107296736
VGG-A-BN,train_dev,best-val,48,d_random,-0.002,0.08402666449546814,-5.081295967102051e-05,0.08407747745513916,2.52111554145813,1.0000001192092896,0.12443473190069199,62.21736526489258,0.002000000022034151
VGG-A-BN,train_dev,best-val,48,d_random,-0.001,0.08403317630290985,-4.430115222930908e-05,0.08407747745513916,2.52111554145813,1.0000001192092896,0.06221736595034599,62.21736526489258,0.0010000000110170755
VGG-A-BN,train_dev,best-val,48,d_random,0.0,0.08408524096012115,7.763504981994629e-06,0.08407747745513916,2.52111554145813,1.0000001192092896,0.0,62.21736526489258,0.0
VGG-A-BN,train_dev,best-val,48,d_random,0.001,0.08407767862081528,2.0116567611694336e-07,0.08407747745513916,2.52111554145813,1.0000001192092896,0.06221736595034599,62.21736526489258,0.0010000000110170755
VGG-A-BN,train_dev,best-val,48,d_random,0.002,0.08409745246171951,1.9975006580352783e-05,0.08407747745513916,2.52111554145813,1.0000001192092896,0.12443473190069199,62.21736526489258,0.002000000022034151
VGG-A-BN,train_dev,best-val,48,d_random,0.005,0.0841616839170456,8.42064619064331e-05,0.08407747745513916,2.52111554145813,1.0000001192092896,0.31108689308166504,62.21736526489258,0.00500000107296736
VGG-A-BN,train_dev,best-val,48,d_random,0.01,0.0842493399977684,0.00017186254262924194,0.08407747745513916,2.52111554145813,1.0000001192092896,0.6221737861633301,62.21736526489258,0.01000000214593472
VGG-A-BN,train_dev,epoch50,50,d_grad,-0.01,1.5511269569396973,1.4690097272396088,0.0821172297000885,2.4926376342773438,1.0,0.6221215724945068,62.212154388427734,0.010000000459881671
VGG-A-BN,train_dev,epoch50,50,d_grad,-0.005,0.8601734042167664,0.7780561745166779,0.0821172297000885,2.4926376342773438,1.0,0.3110607862472534,62.212154388427734,0.005000000229940836
VGG-A-BN,train_dev,epoch50,50,d_grad,-0.002,0.42207038402557373,0.33995315432548523,0.0821172297000885,2.4926376342773438,1.0,0.12442430853843689,62.212154388427734,0.001999999996167653
VGG-A-BN,train_dev,epoch50,50,d_grad,-0.001,0.2547134757041931,0.17259624600410461,0.0821172297000885,2.4926376342773438,1.0,0.062212154269218445,62.212154388427734,0.0009999999980838264
VGG-A-BN,train_dev,epoch50,50,d_grad,0.0,0.08210285753011703,-1.4372169971466064e-05,0.0821172297000885,2.4926376342773438,1.0,0.0,62.212154388427734,0.0
VGG-A-BN,train_dev,epoch50,50,d_grad,0.001,0.014469694346189499,-0.067647535353899,0.0821172297000885,2.4926376342773438,1.0,0.062212154269218445,62.212154388427734,0.0009999999980838264
VGG-A-BN,train_dev,epoch50,50,d_grad,0.002,0.011417442932724953,-0.07069978676736355,0.0821172297000885,2.4926376342773438,1.0,0.12442430853843689,62.212154388427734,0.001999999996167653
VGG-A-BN,train_dev,epoch50,50,d_grad,0.005,0.05298861116170883,-0.02912861853837967,0.0821172297000885,2.4926376342773438,1.0,0.3110607862472534,62.212154388427734,0.005000000229940836
VGG-A-BN,train_dev,epoch50,50,d_grad,0.01,0.348684161901474,0.2665669322013855,0.0821172297000885,2.4926376342773438,1.0,0.6221215724945068,62.212154388427734,0.010000000459881671
VGG-A-BN,train_dev,epoch50,50,d_random,-0.01,0.08310054242610931,0.000983312726020813,0.0821172297000885,2.4926376342773438,1.0,0.6221215724945068,62.212154388427734,0.010000000459881671
VGG-A-BN,train_dev,epoch50,50,d_random,-0.005,0.08254782855510712,0.0004305988550186157,0.0821172297000885,2.4926376342773438,1.0,0.3110607862472534,62.212154388427734,0.005000000229940836
VGG-A-BN,train_dev,epoch50,50,d_random,-0.002,0.0822741836309433,0.00015695393085479736,0.0821172297000885,2.4926376342773438,1.0,0.12442430108785629,62.212154388427734,0.001999999876406801
VGG-A-BN,train_dev,epoch50,50,d_random,-0.001,0.08220214396715164,8.491426706314087e-05,0.0821172297000885,2.4926376342773438,1.0,0.062212150543928146,62.212154388427734,0.0009999999382034005
VGG-A-BN,train_dev,epoch50,50,d_random,0.0,0.08210640400648117,-1.0825693607330322e-05,0.0821172297000885,2.4926376342773438,1.0,0.0,62.212154388427734,0.0
VGG-A-BN,train_dev,epoch50,50,d_random,0.001,0.08204084634780884,-7.638335227966309e-05,0.0821172297000885,2.4926376342773438,1.0,0.062212150543928146,62.212154388427734,0.0009999999382034005
VGG-A-BN,train_dev,epoch50,50,d_random,0.002,0.08194872736930847,-0.0001685023307800293,0.0821172297000885,2.4926376342773438,1.0,0.12442430108785629,62.212154388427734,0.001999999876406801
VGG-A-BN,train_dev,epoch50,50,d_random,0.005,0.08171500265598297,-0.0004022270441055298,0.0821172297000885,2.4926376342773438,1.0,0.3110607862472534,62.212154388427734,0.005000000229940836
VGG-A-BN,train_dev,epoch50,50,d_random,0.01,0.08138173818588257,-0.0007354915142059326,0.0821172297000885,2.4926376342773438,1.0,0.6221215724945068,62.212154388427734,0.010000000459881671
