model,probe_split,snapshot_label,snapshot_epoch,alpha,perturbation_mode,base_loss,perturbed_loss,actual_delta,linear_pred_delta,relative_prediction_error,gradient_cosine_similarity,grad_norm,perturbed_grad_norm,grad_diff_norm,relative_gradient_change,delta_norm,weight_norm,relative_perturbation_norm,grad_lipschitz_estimate
VGG-A,train_dev,epoch0,0,0.0001,layer_normalized,2.309821128845215,2.306471347808838,-0.003349781036376953,-0.003459175815805793,0.03265729259341637,0.9821324814684175,0.48702821135520935,0.46630793809890747,0.09243877232074738,0.18980167917486004,0.007436420768499374,74.36421203613281,9.999999414888029e-05,12.43054625315412
VGG-A,train_dev,epoch0,0,0.0003,layer_normalized,2.309821128845215,2.3002798557281494,-0.00954127311706543,-0.01037752814590931,0.08764606343236962,0.9173131107910137,0.48702821135520935,0.44256356358528137,0.193963885307312,0.3982600612962158,0.022309264168143272,74.36421203613281,0.0003000000074942424,8.694320164278865
VGG-A,train_dev,epoch0,0,0.001,layer_normalized,2.309821128845215,2.2856998443603516,-0.02412128448486328,-0.034591756761074066,0.4340760660064049,0.5183868599806192,0.48702821135520935,0.36860835552215576,0.43237048387527466,0.887772974530893,0.07436421513557434,74.36421203613281,0.001000000041679209,5.814227758432124
VGG-A,train_dev,epoch0,0,0.003,layer_normalized,2.309821128845215,2.2762908935546875,-0.033530235290527344,-0.10377529263496399,2.0949765707215793,0.02402069844332568,0.48702821135520935,0.3324662744998932,0.5830535292625427,1.1971658225714121,0.22309263050556183,74.36421203613281,0.002999999924656815,2.6135042109694737
VGG-A,train_dev,epoch0,0,0.01,layer_normalized,2.309821128845215,2.317021131515503,0.007200002670288086,-0.34591758251190186,49.04409086393589,-0.19800004867762233,0.48702821135520935,1.1878529787063599,1.3701404333114624,2.8132670785104965,0.7436420917510986,74.36421203613281,0.00999999961526884,1.8424729429786721
VGG-A,train_dev,epoch1,1,0.0001,layer_normalized,1.643707275390625,1.631240963935852,-0.01246631145477295,-0.01310181524604559,0.0509776924456132,0.9962355983494409,2.1004552841186523,1.9227756261825562,0.24895253777503967,0.1185231314645671,0.007322490215301514,73.22490692138672,9.999999348804692e-05,33.99834352182725
VGG-A,train_dev,epoch1,1,0.0003,layer_normalized,1.643707275390625,1.6098488569259644,-0.033858418464660645,-0.03930544853210449,0.16087668339054662,0.9539225113974389,2.1004552841186523,1.5963925123214722,0.7503935098648071,0.3572527896872944,0.02196747064590454,73.22490692138672,0.00029999998046414077,34.15930408923547
VGG-A,train_dev,epoch1,1,0.001,layer_normalized,1.643707275390625,1.5717098712921143,-0.07199740409851074,-0.13101816177368164,0.8197623013520807,0.15726542445522354,2.1004552841186523,1.4856746196746826,2.3743674755096436,1.1304061045536251,0.07322490215301514,73.22490692138672,0.0009999999348804692,32.42568314462235
VGG-A,train_dev,epoch1,1,0.003,layer_normalized,1.643707275390625,1.7281105518341064,0.08440327644348145,-0.39305442571640015,5.656862177377667,-0.5250305887842692,2.1004552841186523,5.2368364334106445,6.586863040924072,3.1359215741114475,0.2196747064590454,73.22490692138672,0.0029999998046414075,29.984622021798764
VGG-A,train_dev,epoch1,1,0.01,layer_normalized,1.643707275390625,4.083000183105469,2.4392929077148438,-1.3101814985275269,1.5371152822130407,-0.3771335865806259,2.1004552841186523,24.73444366455078,25.600616455078125,12.188127330603994,0.7322490215301514,73.22490692138672,0.009999999348804692,34.961626034790115
VGG-A,train_dev,epoch5,5,0.0001,layer_normalized,0.9048187136650085,0.8911254405975342,-0.013693273067474365,-0.014251375570893288,0.04075742159444577,0.9978701362107398,2.726621150970459,2.5261340141296387,0.2636938989162445,0.0967108682562631,0.006920868530869484,69.20868682861328,9.999999780386175e-05,38.10127265675946
VGG-A,train_dev,epoch5,5,0.0003,layer_normalized,0.9048187136650085,0.867118239402771,-0.03770047426223755,-0.04275413602590561,0.134047697345018,0.9830194640692922,2.726621150970459,2.137730360031128,0.7380698323249817,0.2706902761545321,0.0207626074552536,69.20868682861328,0.0003000000203250442,35.54803190859472
VGG-A,train_dev,epoch5,5,0.001,layer_normalized,0.9048187136650085,0.8182451725006104,-0.0865735411643982,-0.14251378178596497,0.646158628481414,0.4820297132539944,2.726621150970459,1.3093312978744507,2.3889477252960205,0.8761568230502966,0.06920868903398514,69.20868682861328,0.0010000000318655354,34.51803174776104
VGG-A,train_dev,epoch5,5,0.003,layer_normalized,0.9048187136650085,0.9602551460266113,0.05543643236160278,-0.4275412857532501,8.712279949122054,-0.6672685125566244,2.726621150970459,5.379456043243408,7.479816913604736,2.7432549296195843,0.20762605965137482,69.20868682861328,0.0029999999879427703,36.025424391158346
VGG-A,train_dev,epoch5,5,0.01,layer_normalized,0.9048187136650085,5.227910995483398,4.32309228181839,-1.4251377582550049,1.3296570291244303,-0.5354627945459071,2.726621150970459,43.30024337768555,44.8194465637207,16.437724231607522,0.6920868754386902,69.20868682861328,0.010000000103347683,64.75985624682045
VGG-A,train_dev,epoch10,10,0.0001,layer_normalized,0.6982631087303162,0.6859056353569031,-0.012357473373413086,-0.012735920026898384,0.030624921620265862,0.9976649222171486,2.435718297958374,2.2932422161102295,0.21537603437900543,0.08842403268043526,0.00649861479178071,64.98614501953125,0.00010000000445983656,33.141837342229884
VGG-A,train_dev,epoch10,10,0.0003,layer_normalized,0.6982631087303162,0.6637730002403259,-0.034490108489990234,-0.0382077693939209,0.1077891913564032,0.9802068254796581,2.435718297958374,2.028333902359009,0.6012794375419617,0.24685918648554547,0.019495846703648567,64.98614501953125,0.0003000000492072455,30.841411849500986
VGG-A,train_dev,epoch10,10,0.001,layer_normalized,0.6982631087303162,0.6118878126144409,-0.08637529611587524,-0.12735924124717712,0.4744868842628406,0.657699882370418,2.435718297958374,1.4561197757720947,1.8405662775039673,0.7556564644797944,0.06498615443706512,64.98614501953125,0.0010000001449160258,28.322437193701564
VGG-A,train_dev,epoch10,10,0.003,layer_normalized,0.6982631087303162,0.6447651982307434,-0.053497910499572754,-0.38207775354385376,6.141919188542983,-0.40535364272567775,2.435718297958374,2.976414203643799,4.546334266662598,1.8665271228094595,0.19495846331119537,64.98614501953125,0.003000000434748078,23.319501956710013
VGG-A,train_dev,epoch10,10,0.01,layer_normalized,0.6982631087303162,2.253957509994507,1.5556944012641907,-1.273592233657837,1.818664792148695,-0.426607167694679,2.435718297958374,15.149452209472656,16.337751388549805,6.70757016615762,0.6498615145683289,64.98614501953125,0.010000000990565241,25.14035840297786
VGG-A,train_dev,epoch20,20,0.0001,layer_normalized,0.3277221918106079,0.32026931643486023,-0.007452875375747681,-0.007637783419340849,0.024810295928853913,0.9966990103684257,1.6497515439987183,1.5795280933380127,0.14877855777740479,0.0901824025069804,0.005871230736374855,58.712318420410156,9.999998116807187e-05,25.34026756190252
VGG-A,train_dev,epoch20,20,0.0003,layer_normalized,0.3277221918106079,0.3064904510974884,-0.021231740713119507,-0.02291334979236126,0.07920260057634622,0.9769094193577215,1.6497515439987183,1.4464198350906372,0.3892837464809418,0.23596507479992043,0.017613695934414864,58.712318420410156,0.0003000000069541082,22.10119601987293
VGG-A,train_dev,epoch20,20,0.001,layer_normalized,0.3277221918106079,0.2704269289970398,-0.057295262813568115,-0.07637783885002136,0.3330567851402593,0.7196717090004712,1.6497515439987183,1.2060182094573975,1.1455998420715332,0.6944074980495507,0.058712318539619446,58.712318420410156,0.0010000000020303965,19.5120865700181
VGG-A,train_dev,epoch20,20,0.003,layer_normalized,0.3277221918106079,0.25781840085983276,-0.06990379095077515,-0.2291335165500641,2.277841064605714,-0.14585093936250554,1.6497515439987183,2.1957030296325684,2.932480573654175,1.777528612912426,0.17613695561885834,58.712318420410156,0.0030000000060911897,16.648866010831657
VGG-A,train_dev,epoch20,20,0.01,layer_normalized,0.3277221918106079,1.0837574005126953,0.7560352087020874,-0.7637783288955688,2.01024174549592,-0.34878032439016055,1.6497515439987183,10.683968544006348,11.365035057067871,6.88893736660549,0.5871231555938721,58.712318420410156,0.009999999512704826,19.35715692489116
VGG-A,train_dev,epoch30,30,0.0001,layer_normalized,0.2132076472043991,0.20479923486709595,-0.008408412337303162,-0.008749807253479958,0.04060159070247165,0.9956358738087798,1.9863383769989014,1.8576898574829102,0.2208111584186554,0.11116492586337294,0.0055099367164075375,55.099365234375,0.00010000000350221888,40.075080673997945
VGG-A,train_dev,epoch30,30,0.0003,layer_normalized,0.2132076472043991,0.18959392607212067,-0.023613721132278442,-0.026249423623085022,0.11161741413147051,0.9704577272952916,1.9863383769989014,1.6532853841781616,0.5522281527519226,0.27801313167309766,0.016529811546206474,55.099365234375,0.0003000000358605578,33.40801262060708
VGG-A,train_dev,epoch30,30,0.001,layer_normalized,0.2132076472043991,0.15358352661132812,-0.059624120593070984,-0.08749805390834808,0.46749424625503616,0.6445687454299003,1.9863383769989014,1.252454400062561,1.5189036130905151,0.7646751584115193,0.055099375545978546,55.099365234375,0.001000000187145596,27.56662118290328
VGG-A,train_dev,epoch30,30,0.003,layer_normalized,0.2132076472043991,0.16726098954677582,-0.04594665765762329,-0.26249420642852783,4.7130207029319315,-0.2696462513023095,1.9863383769989014,2.3678321838378906,3.4768710136413574,1.7503921053443354,0.16529813408851624,55.099365234375,0.0030000006966575945,21.033939873631677
VGG-A,train_dev,epoch30,30,0.01,layer_normalized,0.2132076472043991,1.1606932878494263,0.9474856406450272,-0.8749805092811584,1.9234762742003046,-0.4204218333082209,1.9863383769989014,12.117720603942871,13.077603340148926,6.58377419053217,0.5509936809539795,55.099365234375,0.010000000519247897,23.73457952822004
VGG-A,train_dev,best-val,50,0.0001,layer_normalized,0.0701625794172287,0.06419061124324799,-0.005971968173980713,-0.006323076318949461,0.058792701960216784,0.9935368144784631,1.5196115970611572,1.372821569442749,0.22025541961193085,0.14494191807820653,0.005323396064341068,53.23396301269531,9.99999955492988e-05,41.37498261444767
VGG-A,train_dev,best-val,50,0.0003,layer_normalized,0.0701625794172287,0.054219454526901245,-0.015943124890327454,-0.018969230353832245,0.18980629483375003,0.9414796396877931,1.5196115970611572,1.1266446113586426,0.5956539511680603,0.3919777608436401,0.01597018912434578,53.23396301269531,0.00030000000414279106,37.297864573188726
VGG-A,train_dev,best-val,50,0.001,layer_normalized,0.0701625794172287,0.037433307617902756,-0.03272927179932594,-0.06323076039552689,0.9319330042909515,0.32296919187976436,1.5196115970611572,0.883008599281311,1.490699291229248,0.9809738844532222,0.05323396623134613,53.23396301269531,0.0010000000604623558,28.002784627223008
VGG-A,train_dev,best-val,50,0.003,layer_normalized,0.0701625794172287,0.05765417218208313,-0.012508407235145569,-0.18969230353832245,14.16518450129553,-0.18988606997869506,1.5196115970611572,2.7376418113708496,3.373990297317505,2.220297807573074,0.1597018837928772,53.23396301269531,0.0029999999014687535,21.12680337379957
VGG-A,train_dev,best-val,50,0.01,layer_normalized,0.0701625794172287,1.112595796585083,1.0424332171678543,-0.6323076486587524,1.6065689755902486,-0.2918391659585189,1.5196115970611572,16.971923828125,17.4759521484375,11.500275585047522,0.5323396325111389,53.23396301269531,0.01000000004478693,32.82857612160189
VGG-A-BN,train_dev,epoch0,0,0.0001,layer_normalized,2.541597843170166,2.4910130500793457,-0.05058479309082031,-0.05165655165910721,0.02118736685079748,0.9917703602227813,7.753987789154053,7.456398963928223,1.0198907852172852,0.13153113119985368,0.009100568480789661,91.00569152832031,9.999999261538088e-05,112.06890947199253
VGG-A-BN,train_dev,epoch0,0,0.0003,layer_normalized,2.541597843170166,2.3962464332580566,-0.14535140991210938,-0.15496966242790222,0.06617240604414351,0.96801410431711,7.753987789154053,6.8797993659973145,2.0437283515930176,0.2635712625768766,0.027301710098981857,91.00569152832031,0.0003000000290145124,74.85715525450667
VGG-A-BN,train_dev,epoch0,0,0.001,layer_normalized,2.541597843170166,2.1299004554748535,-0.4116973876953125,-0.5165655612945557,0.2547214938289908,0.8010597298811118,7.753987789154053,5.469470024108887,4.700341701507568,0.6061837894666543,0.09100569784641266,91.00569152832031,0.001000000069425244,51.64887268311685
VGG-A-BN,train_dev,epoch0,0,0.003,layer_normalized,2.541597843170166,1.7907497882843018,-0.7508480548858643,-1.549696445465088,1.063928161471572,0.024154488889128474,7.753987789154053,4.799259185791016,9.01994800567627,1.1632656964320975,0.2730170488357544,91.00569152832031,0.0029999997170593825,33.03803936106064
VGG-A-BN,train_dev,epoch0,0,0.01,layer_normalized,2.541597843170166,2.3768489360809326,-0.1647489070892334,-5.165655136108398,30.354715654110596,-0.3430051196414522,7.753987789154053,9.770735740661621,14.407124519348145,1.8580277543769435,0.9100568890571594,91.00569152832031,0.009999999711819741,15.831015283312967
VGG-A-BN,train_dev,epoch1,1,0.0001,layer_normalized,1.3604671955108643,1.3516192436218262,-0.008847951889038086,-0.008955403231084347,0.012144205053757646,0.9972740836134901,1.4210238456726074,1.3755909204483032,0.11278796941041946,0.07937091960412107,0.008968549780547619,89.68550109863281,9.99999963281059e-05,12.575942841400234
VGG-A-BN,train_dev,epoch1,1,0.0003,layer_normalized,1.3604671955108643,1.3348422050476074,-0.025624990463256836,-0.026866208761930466,0.048437805292196615,0.9881483146004537,1.4210238456726074,1.2980111837387085,0.24259710311889648,0.1707199382034782,0.02690565213561058,89.68550109863281,0.00030000002013726536,9.016585135946608
VGG-A-BN,train_dev,epoch1,1,0.001,layer_normalized,1.3604671955108643,1.2834843397140503,-0.07698285579681396,-0.08955402672290802,0.16329831877468917,0.9067218366959839,1.4210238456726074,1.0918195247650146,0.6307283043861389,0.44385483488322386,0.08968551456928253,89.68550109863281,0.0010000001501987452,7.032666394514557
VGG-A-BN,train_dev,epoch1,1,0.003,layer_normalized,1.3604671955108643,1.1996815204620361,-0.16078567504882812,-0.26866209506988525,0.6709330292533631,0.23286620328776209,1.4210238456726074,1.1303160190582275,1.59651517868042,1.1234964026411167,0.269056499004364,89.68550109863281,0.0029999999521490724,5.933754377196906
VGG-A-BN,train_dev,epoch1,1,0.01,layer_normalized,1.3604671955108643,1.5031306743621826,0.14266347885131836,-0.8955402970314026,7.277291877655112,-0.4239825455451083,1.4210238456726074,4.177987575531006,4.950684070587158,3.483885288528618,0.8968549370765686,89.68550109863281,0.00999999917590069,5.520049972322888
VGG-A-BN,train_dev,epoch5,5,0.0001,layer_normalized,0.8353481292724609,0.826749324798584,-0.008598804473876953,-0.008701767772436142,0.011974141157877226,0.9976271621328113,1.4849275350570679,1.4335821866989136,0.11286703497171402,0.07600844641040101,0.008436428382992744,84.36429595947266,9.999998562241874e-05,13.378532934534968
VGG-A-BN,train_dev,epoch5,5,0.0003,layer_normalized,0.8353481292724609,0.8102694153785706,-0.02507871389389038,-0.026105303317308426,0.04093469177732198,0.990223734209181,1.4849275350570679,1.365011215209961,0.2324056327342987,0.15650974693884104,0.02530929073691368,84.36429595947266,0.00030000002310304213,9.182621320767964
VGG-A-BN,train_dev,epoch5,5,0.001,layer_normalized,0.8353481292724609,0.758075475692749,-0.07727265357971191,-0.08701767027378082,0.12611210101664583,0.9381705026368952,1.4849275350570679,1.1882268190383911,0.5533708930015564,0.3726585169560409,0.08436430245637894,84.36429595947266,0.0010000000770101405,6.5593014686238895
VGG-A-BN,train_dev,epoch5,5,0.003,layer_normalized,0.8353481292724609,0.6556071639060974,-0.17974096536636353,-0.26105302572250366,0.4523846869877598,0.4672660224502681,1.4849275350570679,1.0526373386383057,1.360991358757019,0.916537222609125,0.2530929148197174,84.36429595947266,0.0030000003193448024,5.377437609134485
VGG-A-BN,train_dev,epoch5,5,0.01,layer_normalized,0.8353481292724609,0.683747410774231,-0.15160071849822998,-0.8701766729354858,4.739924464445369,-0.349840907074998,1.4849275350570679,2.2480599880218506,3.0974936485290527,2.0859560991371957,0.8436430096626282,84.36429595947266,0.010000000593472643,3.6715691507569495
VGG-A-BN,train_dev,epoch10,10,0.0001,layer_normalized,0.5830686092376709,0.5756176710128784,-0.0074509382247924805,-0.007522272411733866,0.009573852955058157,0.9984036120796592,1.3167686462402344,1.2954152822494507,0.07682809978723526,0.058345936476086595,0.007856175303459167,78.56175231933594,0.00010000000091043761,9.779326048568052
VGG-A-BN,train_dev,epoch10,10,0.0003,layer_normalized,0.5830686092376709,0.5609959363937378,-0.022072672843933105,-0.022566817700862885,0.022387178046975844,0.9934789432316685,1.3167686462402344,1.2585614919662476,0.158120259642601,0.12008203574263507,0.0235685296356678,78.56175231933594,0.00030000005014993816,6.708957329408758
VGG-A-BN,train_dev,epoch10,10,0.001,layer_normalized,0.5830686092376709,0.5138413906097412,-0.06922721862792969,-0.07522271573543549,0.08660606660697066,0.9614414840679872,1.3167686462402344,1.1110661029815674,0.3938753008842468,0.29912263024250907,0.07856176793575287,78.56175231933594,0.0010000001987788773,5.013574811686451
VGG-A-BN,train_dev,epoch10,10,0.003,layer_normalized,0.5830686092376709,0.41291147470474243,-0.17015713453292847,-0.22566819190979004,0.3262340866825022,0.6598348185315037,1.3167686462402344,0.9079189300537109,0.9902051687240601,0.7519963142738779,0.2356852889060974,78.56175231933594,0.0030000004066621307,4.2013872538246595
VGG-A-BN,train_dev,epoch10,10,0.01,layer_normalized,0.5830686092376709,0.35694971680641174,-0.22611889243125916,-0.7522271871566772,2.326688801049017,-0.2746062336315091,1.3167686462402344,1.8131282329559326,2.5164542198181152,1.911083034216633,0.7856175303459167,78.56175231933594,0.010000000091043761,3.2031543627980024
VGG-A-BN,train_dev,epoch20,20,0.0001,layer_normalized,0.36890408396720886,0.3606356978416443,-0.008268386125564575,-0.008375333622097969,0.01293450679603952,0.9976788372557522,1.5920851230621338,1.5564813613891602,0.11300846934318542,0.0709814241124437,0.006984803359955549,69.8480453491211,9.999998317839025e-05,16.17919124124127
VGG-A-BN,train_dev,epoch20,20,0.0003,layer_normalized,0.36890408396720886,0.344836562871933,-0.02406752109527588,-0.025126002728939056,0.043979669924167755,0.9914458943883135,1.5920851230621338,1.4785938262939453,0.23055224120616913,0.14481150402482057,0.02095441333949566,69.8480453491211,0.00029999999620260425,11.002562442137938
VGG-A-BN,train_dev,epoch20,20,0.001,layer_normalized,0.36890408396720886,0.29567626118659973,-0.07322782278060913,-0.08375334739685059,0.14373668663857414,0.9510674461900586,1.5920851230621338,1.277005910873413,0.5461181402206421,0.3430206917393128,0.06984803825616837,69.8480453491211,0.0009999998984516647,7.8186611085303275
VGG-A-BN,train_dev,epoch20,20,0.003,layer_normalized,0.36890408396720886,0.20251283049583435,-0.1663912534713745,-0.25126001238822937,0.5100554094416714,0.6634234761896994,1.5920851230621338,0.8937212228775024,1.2023013830184937,0.7551740579712533,0.2095441222190857,69.8480453491211,0.0029999998020234135,5.737700348194189
VGG-A-BN,train_dev,epoch20,20,0.01,layer_normalized,0.36890408396720886,0.17760640382766724,-0.19129768013954163,-0.8375333547592163,3.378167859371215,-0.21566199652386586,1.5920851230621338,1.342155933380127,2.292985677719116,1.4402406281574358,0.6984803676605225,69.8480453491211,0.009999998771179809,3.2828205113326248
VGG-A-BN,train_dev,epoch30,30,0.0001,layer_normalized,0.23021043837070465,0.2205144464969635,-0.00969599187374115,-0.009889944456517696,0.020003377199790374,0.9973802815716902,2.1564011573791504,2.0772080421447754,0.17245854437351227,0.0799751677851607,0.006478970404714346,64.78971099853516,9.99999892708401e-05,26.618202214355673
VGG-A-BN,train_dev,epoch30,30,0.0003,layer_normalized,0.23021043837070465,0.20245900750160217,-0.027751430869102478,-0.029669836163520813,0.06912815787650876,0.9887198844412864,2.1564011573791504,1.8502577543258667,0.4286458492279053,0.1987783431487643,0.0194369126111269,64.78971099853516,0.0002999999893743368,22.0531860076647
VGG-A-BN,train_dev,epoch30,30,0.001,layer_normalized,0.23021043837070465,0.15432186424732208,-0.07588857412338257,-0.09889945387840271,0.30321929250651314,0.9137944797736491,2.1564011573791504,1.2600826025009155,1.1277717351913452,0.5229879103580235,0.06478971242904663,64.78971099853516,0.0010000000220793002,17.40664826111716
VGG-A-BN,train_dev,epoch30,30,0.003,layer_normalized,0.23021043837070465,0.09126336127519608,-0.13894707709550858,-0.29669836163520813,1.13533359490006,0.39353544890434333,2.1564011573791504,0.7768656611442566,1.9836983680725098,0.919911567142479,0.1943691074848175,64.78971099853516,0.002999999606252481,10.205831542584306
VGG-A-BN,train_dev,epoch30,30,0.01,layer_normalized,0.23021043837070465,0.1087728887796402,-0.12143754959106445,-0.9889944195747375,7.144057772123468,-0.28177546185129715,2.1564011573791504,1.4771478176116943,2.9371964931488037,1.362082599101652,0.6478970646858215,64.78971099853516,0.009999999300822163,4.533430776651396
VGG-A-BN,train_dev,best-val,48,0.0001,layer_normalized,0.08407747745513916,0.07249820232391357,-0.011579275131225586,-0.011970878578722477,0.033819340421479605,0.9929750968621996,2.52111554145813,2.343959331512451,0.3382451832294464,0.13416488759329792,0.006221736315637827,62.21736526489258,9.999999661105176e-05,54.3650785037763
VGG-A-BN,train_dev,best-val,48,0.0003,layer_normalized,0.08407747745513916,0.05251416563987732,-0.03156331181526184,-0.0359126441180706,0.13779708315354045,0.9445719960310367,2.52111554145813,1.9945639371871948,0.9136176109313965,0.3623862516047124,0.018665213137865067,62.21736526489258,0.0003000000571929923,48.947612019387655
VGG-A-BN,train_dev,best-val,48,0.001,layer_normalized,0.08407747745513916,0.01891169138252735,-0.06516578607261181,-0.11970880627632141,0.8369886023155517,0.568424170113168,2.52111554145813,0.6705939769744873,2.209912061691284,0.8765611989417764,0.06221736595034599,62.21736526489258,0.0010000000110170755,35.519216024911046
VGG-A-BN,train_dev,best-val,48,0.003,layer_normalized,0.08407747745513916,0.015228566713631153,-0.06884891074150801,-0.35912638902664185,4.216152080821952,-0.09698902305849048,2.52111554145813,0.841083824634552,2.7340023517608643,1.0844415128152387,0.18665210902690887,62.21736526489258,0.003000000212677459,14.6475834964539
VGG-A-BN,train_dev,best-val,48,0.01,layer_normalized,0.08407747745513916,0.2846088409423828,0.20053136348724365,-1.1970880031585693,6.969579931743293,-0.2332039546195868,2.52111554145813,5.3849873542785645,6.456480979919434,2.5609619526541882,0.6221736669540405,62.21736526489258,0.010000000229921577,10.377297084153787
VGG-A-BN,train_dev,epoch50,50,0.0001,layer_normalized,0.0821172297000885,0.07075753062963486,-0.011359699070453644,-0.011836306191980839,0.04195596367221037,0.9934757241140724,2.4926376342773438,2.299543857574463,0.33478549122810364,0.1343097314364201,0.0062212152406573296,62.212154388427734,9.999999681436135e-05,53.81352007244334
VGG-A-BN,train_dev,epoch50,50,0.0003,layer_normalized,0.0821172297000885,0.050947532057762146,-0.031169697642326355,-0.03550892695784569,0.13921307050559742,0.9457478233887306,2.4926376342773438,1.9564757347106934,0.9036697745323181,0.3625355575578103,0.018663644790649414,62.212154388427734,0.0002999999754729776,48.41871910169773
VGG-A-BN,train_dev,epoch50,50,0.001,layer_normalized,0.0821172297000885,0.018779274076223373,-0.06333795562386513,-0.11836306005716324,0.8687540336803227,0.5060749581282558,2.4926376342773438,0.723599374294281,2.216134548187256,0.8890720888235925,0.06221214681863785,62.212154388427734,0.0009999998783229746,35.62221626345379
VGG-A-BN,train_dev,epoch50,50,0.003,layer_normalized,0.0821172297000885,0.018835823982954025,-0.06328140571713448,-0.3550891578197479,4.611271649163156,-0.1009485722298068,2.4926376342773438,1.1784307956695557,2.8626902103424072,1.1484582319452734,0.18663644790649414,62.212154388427734,0.002999999754729776,15.338323475683755
VGG-A-BN,train_dev,epoch50,50,0.01,layer_normalized,0.0821172297000885,0.33897969126701355,0.25686246156692505,-1.1836305856704712,5.608032557385107,-0.2328092862903686,2.4926376342773438,5.961979389190674,6.976963520050049,2.7990283963087093,0.6221215724945068,62.212154388427734,0.010000000459881671,11.214791173491502
